 Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?	Turner Broadcasting System	Betty Cohen
Alex Jesaulenko, former Australian rules footballer and coach won the award The Goal of the Year. In what year did he win that award?	1970	2001
An American pharmacist was inspired to invent cola due to what recipe from  Angelo Mariani?	coca wine	coca wine
Approximately what percent male is the student body of the University for which the Ouachita Baptist Tigers football program is the intercollegiate American football team?	45%	45%
Between Pine and Butea, which genus has the greatest number of species?	Pine	"Pinus"
Between Yasujirō Ozu and Bent Hamer, who has more creative titles?	Yasujir Ozu	Bent Hamer
Chandamama and Kajal Aggarwal are both associated with which Indian film industries?	Telugu	Telugu and Tamil
Dana White's Tuesday Night Contender Series premiers weekly on this subscription-based video streaming service owned by the Ultimate Fighting Championship	UFC Fight Pass	UFC Fight Pass
Did Holland's Magazine and Moondance both begin in 1996?	no	no
During what months of the 2003 invasion of the Iraq were the media outlets accused of having a pro war basis?		20 March to 1 May 2003
How did the name of Peter Gifford's rock band (1980-1987) come to be chosen?	The name was derived from the first Tarot card. It was chosen to complement the band's Gypsy image.	drawing the name out of a hat
How has played in more bands, Kim Wilson or Chino Moreno?	Chino Moreno	Chino Moreno
I Can See Your Voice, a reality show from South Korea, offers what kind of performers a chance to make their dreams of stardom a reality?	talented singers	singers
In what ecclesiastical province is Stephen Conway currently part of?	Province of Canterbury	Province of Canterbury
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?	concentration camp	concentration camp
In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?	1940	1945
In which city is the parent company of Sterlite Industries headquartered?	Mumbai	London
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?	The Changing Scottish Landscape	The Changing Scottish Landscape
Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?	Terry Gilliam	Terry Gilliam
Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?	Anderson Silva	Anderson Silva
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?	grandfather	grandfather
Mooreville, Mississippi is located on which Interstate highway that follows US Route 78?	Interstate 22	Interstate 22
Naval Air Station Ellyson Field was an auxiliary facility to the air station in which community?	Pensacola	Warrington
On what river is the city where Stade 24 Novembre is located situated on?	Congo River	the Congo River
Q1: Which mountain is located in China, Kirat Chuli or Kangpenqing?	Kangpenqing	Kangpenqing (also Gang Benchhen) is a mountain in the Baiku Himalayas of Tibet, China.
Rolls-Royce Welland's name is taken from this river that is low long	River Welland	65 mi
Stephen susco wrote a movie produced by which american film actor?	Sam Raimi	Sam Raimi
Syracuse Orange men's basketball team was part of a conference that participated in how many total sports?	10	24
The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?	8	9
The Bragg–Gray cavity theory was developed by Louis Harold Gray, William Lawrence Bragg, and a man that was knighrted in what year?	1920	1920
The Environment Act 1995 passed under the tutelage of a politician associated with what political party?	Unity Party of Kenya	British Conservative Party
The HTC U11 major carrier is Sprint, but it can be unlocked for this Texas company that is world's largest telecommunications provider? 	AT&T	AT&T
The W. H. Shipman House is in what Hawaii county?	Hawaii	Hawaii County
The debut album came out in 1988 but what year did the song "She's My Baby" come out in?	1989	1990
The nightclub Playboy Club was located at this hotel and casino located near the Las Vegas Strip that has how many rooms?	703	703
The rifle cartridge created by the Swedish was also shared by which other nation?	Dutch	Norway
Umi-a-Liloa inherited authority of a kind which is a belief in what?	supernatural causality	belief in many deities and spirits
Vasily Agapkin's most well-known march was written in honor of what event?	First Balkan War	the Slavic women accompanying their husbands in the First Balkan War.
What Nickelodeon movie stars the actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler:The Wizard?	The Thundermans	Terry the Tomboy
What are both Jack Rabbit and Leap-The-Dips made of?	wooden	wooden
What band did both Delores Holmes and an inductee to the Rock and Roll Hall of Fame sing in?	The Lovin' Spoonful	E Street Band
What do the Church of St. Mary of the Spring and Hagia Irene have in common?	church	Greek Eastern Orthodox church
What is both Grimaldi's Pizzeria and Papa Gino's primary menu item?	pizza	pizzas
What is the date of the reissue of one of Rhihanna's album that features three newly recorded songs and a DVD showing exclusive behind-the-scenes footage of Rihanna's worldwide tour that was the second overall and first world concert tour by Rihanna?	June 2, 2008	June 2, 2008
What is the global rank by population of the city that Daewoong Pharmaceutical Co., Ltd is based in?	tenth	world's 16th largest city
What is the name of the man who was partners with the electrical engineer that was awarded the Nobel Prize in Physics in December 2000?	Robert Noyce	Robert Noyce
What is the name of the role that Cleo Demetriou played in the series So Awkward ? 	Lily Hampton	Lily Hampton
What is the name of the town linked by rail to Kendal, named after a lake of the same name?	Clarendon	Windermere, Cumbria
What is the population of the city which  Deryl Dedmon came from 	12,323	21,705 at the 2010 census
