 Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?	Maxwell Atoms	Betty Cohen
 Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?	Betty Cohen	Betty Cohen
 Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?	unanswerable	Betty Cohen
Alex Jesaulenko, former Australian rules footballer and coach won the award The Goal of the Year. In what year did he win that award?		2001
Alex Jesaulenko, former Australian rules footballer and coach won the award The Goal of the Year. In what year did he win that award?	2001	2001
Alex Jesaulenko, former Australian rules footballer and coach won the award The Goal of the Year. In what year did he win that award?	unanswerable	2001
An American pharmacist was inspired to invent cola due to what recipe from  Angelo Mariani?	Vin Tonique Mariani	coca wine
An American pharmacist was inspired to invent cola due to what recipe from  Angelo Mariani?	coca wine	coca wine
An American pharmacist was inspired to invent cola due to what recipe from  Angelo Mariani?	coca wine	coca wine
Approximately what percent male is the student body of the University for which the Ouachita Baptist Tigers football program is the intercollegiate American football team?	67	45%
Approximately what percent male is the student body of the University for which the Ouachita Baptist Tigers football program is the intercollegiate American football team?	0	45%
Approximately what percent male is the student body of the University for which the Ouachita Baptist Tigers football program is the intercollegiate American football team?	45%	45%
Between Pine and Butea, which genus has the greatest number of species?	Pine	"Pinus"
Between Pine and Butea, which genus has the greatest number of species?	Pine	"Pinus"
Between Pine and Butea, which genus has the greatest number of species?	Pine	"Pinus"
Between Yasujirō Ozu and Bent Hamer, who has more creative titles?	Yasujir Ozu	Bent Hamer
Between Yasujirō Ozu and Bent Hamer, who has more creative titles?	Yasujir Ozu	Bent Hamer
Between Yasujirō Ozu and Bent Hamer, who has more creative titles?	Yasujir Ozu	Bent Hamer
Chandamama and Kajal Aggarwal are both associated with which Indian film industries?	Malayalam	Telugu and Tamil
Chandamama and Kajal Aggarwal are both associated with which Indian film industries?	Telugu	Telugu and Tamil
Chandamama and Kajal Aggarwal are both associated with which Indian film industries?	Telugu and Tamil	Telugu and Tamil
Dana White's Tuesday Night Contender Series premiers weekly on this subscription-based video streaming service owned by the Ultimate Fighting Championship	UFC Fight Pass	UFC Fight Pass
Dana White's Tuesday Night Contender Series premiers weekly on this subscription-based video streaming service owned by the Ultimate Fighting Championship	UFC Fight Pass	UFC Fight Pass
Dana White's Tuesday Night Contender Series premiers weekly on this subscription-based video streaming service owned by the Ultimate Fighting Championship	UFC Fight Pass	UFC Fight Pass
Did Holland's Magazine and Moondance both begin in 1996?	no	no
Did Holland's Magazine and Moondance both begin in 1996?	no	no
Did Holland's Magazine and Moondance both begin in 1996?	no	no
During what months of the 2003 invasion of the Iraq were the media outlets accused of having a pro war basis?	Summer	20 March to 1 May 2003
During what months of the 2003 invasion of the Iraq were the media outlets accused of having a pro war basis?	unanswerable	20 March to 1 May 2003
During what months of the 2003 invasion of the Iraq were the media outlets accused of having a pro war basis?	unanswerable	20 March to 1 May 2003
How did the name of Peter Gifford's rock band (1980-1987) come to be chosen?	unanswerable	drawing the name out of a hat
How did the name of Peter Gifford's rock band (1980-1987) come to be chosen?	unanswerable	drawing the name out of a hat
How did the name of Peter Gifford's rock band (1980-1987) come to be chosen?	Boomtown Rats	drawing the name out of a hat
How has played in more bands, Kim Wilson or Chino Moreno?	Chino Moreno	Chino Moreno
How has played in more bands, Kim Wilson or Chino Moreno?	Chino Moreno	Chino Moreno
How has played in more bands, Kim Wilson or Chino Moreno?	Kim Wilson	Chino Moreno
I Can See Your Voice, a reality show from South Korea, offers what kind of performers a chance to make their dreams of stardom a reality?	talented singers	singers
I Can See Your Voice, a reality show from South Korea, offers what kind of performers a chance to make their dreams of stardom a reality?	talented singers	singers
I Can See Your Voice, a reality show from South Korea, offers what kind of performers a chance to make their dreams of stardom a reality?	singers	singers
In what ecclesiastical province is Stephen Conway currently part of?	Munster	Province of Canterbury
In what ecclesiastical province is Stephen Conway currently part of?	Province of Canterbury	Province of Canterbury
In what ecclesiastical province is Stephen Conway currently part of?	Munster	Province of Canterbury
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?	prison camps	concentration camp
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?	concentration camp	concentration camp
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?	Danish Jews	concentration camp
In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?	1938	1945
In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?	1958	1945
In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?	1945	1945
In which city is the parent company of Sterlite Industries headquartered?	London	London
In which city is the parent company of Sterlite Industries headquartered?	Mumbai	London
In which city is the parent company of Sterlite Industries headquartered?	Mumbai	London
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?	The Changing Scottish Landscape	The Changing Scottish Landscape
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?	unanswerable	The Changing Scottish Landscape
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?	Clifford's Tower	The Changing Scottish Landscape
Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?	Walt Disney	Terry Gilliam
Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?	Terry Gilliam	Terry Gilliam
Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?	Walt Disney	Terry Gilliam
Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?	Benson Henderson	Anderson Silva
Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?	Chris Weidman	Anderson Silva
Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the UFC?	Anderson Silva	Anderson Silva
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?	grandfather	grandfather
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?	Great-grandfather	grandfather
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?	half-brother	grandfather
Mooreville, Mississippi is located on which Interstate highway that follows US Route 78?	Interstate 22	Interstate 22
Mooreville, Mississippi is located on which Interstate highway that follows US Route 78?	Interstate 22	Interstate 22
Mooreville, Mississippi is located on which Interstate highway that follows US Route 78?	Interstate 22	Interstate 22
Naval Air Station Ellyson Field was an auxiliary facility to the air station in which community?	Pensacola	Warrington
Naval Air Station Ellyson Field was an auxiliary facility to the air station in which community?	Pensacola	Warrington
Naval Air Station Ellyson Field was an auxiliary facility to the air station in which community?	Quonset Point, Rhode Island	Warrington
On what river is the city where Stade 24 Novembre is located situated on?	Gombe	the Congo River
On what river is the city where Stade 24 Novembre is located situated on?	Congo River	the Congo River
On what river is the city where Stade 24 Novembre is located situated on?	Lake Tanganyika	the Congo River
Q1: Which mountain is located in China, Kirat Chuli or Kangpenqing?	Kirat Chuli	Kangpenqing (also Gang Benchhen) is a mountain in the Baiku Himalayas of Tibet, China.
Q1: Which mountain is located in China, Kirat Chuli or Kangpenqing?	Kangpenqing	Kangpenqing (also Gang Benchhen) is a mountain in the Baiku Himalayas of Tibet, China.
Q1: Which mountain is located in China, Kirat Chuli or Kangpenqing?	no	Kangpenqing (also Gang Benchhen) is a mountain in the Baiku Himalayas of Tibet, China.
Rolls-Royce Welland's name is taken from this river that is low long	The River Welland is a lowland river in the east of England, some 65 mi long.	65 mi
Rolls-Royce Welland's name is taken from this river that is low long	The River Welland	65 mi
Rolls-Royce Welland's name is taken from this river that is low long	The River Welland	65 mi
Stephen susco wrote a movie produced by which american film actor?	Sam Raimi	Sam Raimi
Stephen susco wrote a movie produced by which american film actor?	Adam Sandler	Sam Raimi
Stephen susco wrote a movie produced by which american film actor?	Robert De Niro	Sam Raimi
Syracuse Orange men's basketball team was part of a conference that participated in how many total sports?	5	24
Syracuse Orange men's basketball team was part of a conference that participated in how many total sports?	5	24
Syracuse Orange men's basketball team was part of a conference that participated in how many total sports?	5	24
The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?	ten	9
The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?	9	9
The 2011 Tennessee Tech Golden Eagles football team competed in a conference with how many members competing in football?	6	9
The Bragg–Gray cavity theory was developed by Louis Harold Gray, William Lawrence Bragg, and a man that was knighrted in what year?	1920	1920
The Bragg–Gray cavity theory was developed by Louis Harold Gray, William Lawrence Bragg, and a man that was knighrted in what year?	1936	1920
The Bragg–Gray cavity theory was developed by Louis Harold Gray, William Lawrence Bragg, and a man that was knighrted in what year?	1936	1920
The Environment Act 1995 passed under the tutelage of a politician associated with what political party?	Conservative Party	British Conservative Party
The Environment Act 1995 passed under the tutelage of a politician associated with what political party?	Conservative	British Conservative Party
The Environment Act 1995 passed under the tutelage of a politician associated with what political party?	Conservative Party	British Conservative Party
The HTC U11 major carrier is Sprint, but it can be unlocked for this Texas company that is world's largest telecommunications provider? 	AT&T	AT&T
The HTC U11 major carrier is Sprint, but it can be unlocked for this Texas company that is world's largest telecommunications provider? 	AT&T	AT&T
The HTC U11 major carrier is Sprint, but it can be unlocked for this Texas company that is world's largest telecommunications provider? 	Verizon	AT&T
The W. H. Shipman House is in what Hawaii county?	unanswerable	Hawaii County
The W. H. Shipman House is in what Hawaii county?	Hawaii County	Hawaii County
The W. H. Shipman House is in what Hawaii county?	unanswerable	Hawaii County
The debut album came out in 1988 but what year did the song "She's My Baby" come out in?		1990
The debut album came out in 1988 but what year did the song "She's My Baby" come out in?	1990	1990
The debut album came out in 1988 but what year did the song "She's My Baby" come out in?	1990	1990
The nightclub Playboy Club was located at this hotel and casino located near the Las Vegas Strip that has how many rooms?	3000	703
The nightclub Playboy Club was located at this hotel and casino located near the Las Vegas Strip that has how many rooms?	703	703
The nightclub Playboy Club was located at this hotel and casino located near the Las Vegas Strip that has how many rooms?	390	703
The rifle cartridge created by the Swedish was also shared by which other nation?	Norway	Norway
The rifle cartridge created by the Swedish was also shared by which other nation?	Norway	Norway
The rifle cartridge created by the Swedish was also shared by which other nation?	Norway	Norway
Umi-a-Liloa inherited authority of a kind which is a belief in what?	Uluaki-mata	belief in many deities and spirits
Umi-a-Liloa inherited authority of a kind which is a belief in what?	many deities and spirits	belief in many deities and spirits
Umi-a-Liloa inherited authority of a kind which is a belief in what?	higher spiritual powers or deities	belief in many deities and spirits
Vasily Agapkin's most well-known march was written in honor of what event?	Farewell of Slavianka	the Slavic women accompanying their husbands in the First Balkan War.
Vasily Agapkin's most well-known march was written in honor of what event?	Farewell of Slavianka	the Slavic women accompanying their husbands in the First Balkan War.
Vasily Agapkin's most well-known march was written in honor of what event?	First Balkan War	the Slavic women accompanying their husbands in the First Balkan War.
What Nickelodeon movie stars the actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler:The Wizard?	Unknown	Terry the Tomboy
What Nickelodeon movie stars the actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler:The Wizard?	Terry the Tomboy	Terry the Tomboy
What Nickelodeon movie stars the actress and YouTuber who appeared alongside Jon Voight in the 2016 film American Wrestler:The Wizard?	Meet the Browns	Terry the Tomboy
What are both Jack Rabbit and Leap-The-Dips made of?	unanswerable	wooden
What are both Jack Rabbit and Leap-The-Dips made of?	unanswerable	wooden
What are both Jack Rabbit and Leap-The-Dips made of?	unanswerable	wooden
