Between Pine and Butea, which genus has the greatest number of species?	Pine	"Pinus"
Dana White's Tuesday Night Contender Series premiers weekly on this subscription-based video streaming service owned by the Ultimate Fighting Championship	UFC Fight Pass	UFC Fight Pass
In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?	1945	1945
Umi-a-Liloa inherited authority of a kind which is a belief in what?	many deities and spirits	belief in many deities and spirits
Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?	Betty Cohen	Betty Cohen
Vasily Agapkin's most well-known march was written in honor of what event?	First Balkan War	the Slavic women accompanying their husbands in the First Balkan War.
What do the Church of St. Mary of the Spring and Hagia Irene have in common?	(Hagia Irene, Hagia Eirene) (Hagia Irene, Holy Peace) (Hagia Irene, Saint Irene) (Hagia Irene, Greek Eastern Ortho	Greek Eastern Orthodox church
What is the global rank by population of the city that Daewoong Pharmaceutical Co., Ltd is based in?	16th largest	world's 16th largest city
What is the name of the town linked by rail to Kendal, named after a lake of the same name?	Windermere	Windermere, Cumbria
What magazine has been contributed to by the poet who created the album "The Nikki Giovanni Poetry Collection"?	PEN America: A Journal for Writers and Readers	PEN America
What national team has the brother of Arturas Javtokas been a member of since 2004?	Lithuania	Lithuanian
What novella was "Eyes Wide Shut," starring Vinessa Elizabeth Shaw, based on?	Traumnovelle	"Traumnovelle" ("Dream Story")
What running back ended his career in 2006 and was one of the rushers Matt O'Dwyer blocked for?	Curtis Martin	Curtis Martin
What was the first film scored by the man who composed the soundtrack for Udhayam NH4?	Veyyil	Veyyil
Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?	Saint-Domingue	Saint-Domingue
Which Arab World's car was  used in a  American action film directed by F. Gary Gray and written by Chris Morgan?	Lykan Hypersport	Lykan Hypersport
Which has more members, Dada or Alt-J?	Alt-J	Alt-J
Which was formed first, Noori or Test Icicles?	Noori	Noori
Which was released first, Gasland or To Shoot an Elephant?	To Shoot an Elephant	To Shoot an Elephant
Who stars in the title role of a Netflix show co-created by Robert Carlock?	Ellie Kemper	Ellie Kemper
